corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
domain_taxonomy_v1,childcare,generic,C04,exact,0.125,0.75,1.0,0.5,0.5,0.0,0.25,1.0,0.5156,0.4464
domain_taxonomy_v1,childcare,generic,C05,document,0.875,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.8594,0.8393
domain_taxonomy_v1,childcare,generic,C05,field,0.625,1.0,1.0,0.5,0.25,0.5,0.5,1.0,0.6719,0.625
domain_taxonomy_v1,childcare,generic,C05,exact,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4062,0.3214
domain_taxonomy_v1,childcare,generic,C06,document,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9286
domain_taxonomy_v1,childcare,generic,C06,field,0.5,0.5,1.0,1.0,0.75,1.0,0.5,1.0,0.7812,0.75
domain_taxonomy_v1,childcare,generic,C06,exact,0.0,0.5,1.0,0.75,0.25,0.0,0.0,1.0,0.4375,0.3571
domain_taxonomy_v1,childcare,generic,C07,document,0.875,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.8594,0.8393
domain_taxonomy_v1,childcare,generic,C07,field,0.5,0.25,1.0,1.0,0.75,0.5,0.75,1.0,0.7188,0.6786
domain_taxonomy_v1,childcare,generic,C07,exact,0.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.3438,0.25
domain_taxonomy_v1,childcare,generic,C08,document,0.875,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9531,0.9464
domain_taxonomy_v1,childcare,generic,C08,field,0.875,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9531,0.9464
domain_taxonomy_v1,childcare,generic,C08,exact,0.0,0.75,0.75,0.75,0.5,0.0,0.5,1.0,0.5312,0.4643
domain_taxonomy_v1,childcare,common,C01,document,1.0,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.8438,0.8214
domain_taxonomy_v1,childcare,common,C01,field,0.75,0.5,0.75,0.5,0.75,1.0,1.0,1.0,0.7812,0.75
domain_taxonomy_v1,childcare,common,C01,exact,0.0,0.5,0.5,0.5,0.5,0.0,0.75,1.0,0.4688,0.3929
domain_taxonomy_v1,childcare,common,C02,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
domain_taxonomy_v1,childcare,common,C02,field,0.625,0.75,1.0,0.75,0.5,1.0,0.75,1.0,0.7969,0.7679
domain_taxonomy_v1,childcare,common,C02,exact,0.0,0.75,1.0,0.5,0.25,0.0,0.0,1.0,0.4375,0.3571
domain_taxonomy_v1,childcare,common,C03,document,1.0,0.75,0.5,1.0,0.75,1.0,0.75,1.0,0.8438,0.8214
domain_taxonomy_v1,childcare,common,C03,field,0.875,0.75,0.5,0.75,0.75,0.5,0.75,1.0,0.7344,0.6964
domain_taxonomy_v1,childcare,common,C03,exact,0.125,0.75,0.5,0.25,0.75,0.5,0.25,1.0,0.5156,0.4464
domain_taxonomy_v1,childcare,common,C04,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
domain_taxonomy_v1,childcare,common,C04,field,0.5,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9062,0.8929
domain_taxonomy_v1,childcare,common,C04,exact,0.125,0.75,0.75,0.25,0.5,0.0,0.0,1.0,0.4219,0.3393
domain_taxonomy_v1,childcare,common,C05,document,0.875,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.7969,0.7679
domain_taxonomy_v1,childcare,common,C05,field,0.375,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.6094,0.5536
domain_taxonomy_v1,childcare,common,C05,exact,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4062,0.3214
domain_taxonomy_v1,childcare,common,C06,document,0.75,0.75,1.0,0.5,1.0,0.5,0.5,1.0,0.75,0.7143
domain_taxonomy_v1,childcare,common,C06,field,0.125,0.75,1.0,0.5,0.75,0.0,0.5,1.0,0.5781,0.5179
domain_taxonomy_v1,childcare,common,C06,exact,0.0,0.75,1.0,0.5,0.25,0.0,0.0,1.0,0.4375,0.3571
domain_taxonomy_v1,childcare,common,C07,document,0.75,0.5,1.0,1.0,0.75,1.0,0.75,1.0,0.8438,0.8214
domain_taxonomy_v1,childcare,common,C07,field,0.5,0.5,1.0,1.0,0.5,0.0,0.75,1.0,0.6562,0.6071
domain_taxonomy_v1,childcare,common,C07,exact,0.0,0.25,0.75,0.75,0.0,0.0,0.0,1.0,0.3438,0.25
domain_taxonomy_v1,childcare,common,C08,document,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.9375,0.9286
domain_taxonomy_v1,childcare,common,C08,field,0.875,1.0,0.5,1.0,0.75,1.0,0.5,1.0,0.8281,0.8036
domain_taxonomy_v1,childcare,common,C08,exact,0.0,0.75,0.5,0.75,0.5,0.0,0.25,1.0,0.4688,0.3929
domain_taxonomy_v1,childcare,domain,C01,document,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.9375,0.9286
domain_taxonomy_v1,childcare,domain,C01,field,0.75,1.0,0.5,0.75,0.75,1.0,0.75,1.0,0.8125,0.7857
domain_taxonomy_v1,childcare,domain,C01,exact,0.0,1.0,0.5,0.5,0.5,0.0,0.75,1.0,0.5312,0.4643
domain_taxonomy_v1,childcare,domain,C02,document,0.875,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.9219,0.9107
domain_taxonomy_v1,childcare,domain,C02,field,0.5,1.0,1.0,0.75,0.5,1.0,0.75,1.0,0.8125,0.7857
domain_taxonomy_v1,childcare,domain,C02,exact,0.0,0.75,0.75,0.75,0.5,0.0,0.0,1.0,0.4688,0.3929
domain_taxonomy_v1,childcare,domain,C03,document,0.875,0.5,0.5,0.75,1.0,1.0,1.0,1.0,0.8281,0.8036
domain_taxonomy_v1,childcare,domain,C03,field,0.375,0.5,0.5,0.75,1.0,0.5,1.0,1.0,0.7031,0.6607
domain_taxonomy_v1,childcare,domain,C03,exact,0.0,0.5,0.5,0.5,0.75,0.5,1.0,1.0,0.5938,0.5357
domain_taxonomy_v1,childcare,domain,C04,document,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.9688,0.9643
domain_taxonomy_v1,childcare,domain,C04,field,0.625,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.8906,0.875
domain_taxonomy_v1,childcare,domain,C04,exact,0.0,0.75,0.5,0.75,0.5,0.0,0.25,1.0,0.4688,0.3929
