corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
runs,semiconductor_work,checklist,S08,exact,0.1667,0.0,0.3333,0.5,0.3333,0.5,0.25,1.0,0.3854,0.2976
runs,semiconductor_work,update,S08,document,1.0,0.6667,1.0,0.75,1.0,1.0,0.75,1.0,0.8958,0.881
runs,semiconductor_work,update,S08,field,0.5,0.3333,1.0,0.5,1.0,1.0,0.5,1.0,0.7292,0.6905
runs,semiconductor_work,update,S08,exact,0.3333,0.3333,0.6667,0.5,1.0,0.0,0.25,1.0,0.5104,0.4405
generic_questions_v1,semiconductor_work,generic,S01,document,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9821
generic_questions_v1,semiconductor_work,generic,S01,field,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9375,0.9286
generic_questions_v1,semiconductor_work,generic,S01,exact,0.5,1.0,0.75,1.0,0.75,0.0,0.25,1.0,0.6562,0.6071
generic_questions_v1,semiconductor_work,generic,S02,document,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.9583,0.9524
generic_questions_v1,semiconductor_work,generic,S02,field,0.8571,0.6667,1.0,1.0,1.0,0.6667,0.5,1.0,0.8363,0.8129
generic_questions_v1,semiconductor_work,generic,S02,exact,0.4286,0.6667,1.0,1.0,1.0,0.3333,0.5,1.0,0.7411,0.7041
generic_questions_v1,semiconductor_work,generic,S03,document,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.9688,0.9643
