scenario_id,repeat,level,document_process,field_process,exact_process,document_legacy,field_legacy,exact_legacy,field_activities,field_actors,field_systems,field_inputs,field_outputs,field_decisions,field_exceptions,answer_words,unsure_answers,input_tokens,output_tokens,provenance_carried,provenance_lost,provenance_recovered,provenance_dropped,provenance_unsupported,provenance_missed
S08,2,L1,0.6429,0.5476,0.2976,0.6875,0.6042,0.3854,0.6667,0.0,0.6667,0.5,1.0,0.5,0.5,115,3,2626,3147,3,2,8,0,3,9
S08,2,L0,0.6548,0.5357,0.1548,0.6979,0.5938,0.2604,0.5,0.3333,0.6667,0.5,1.0,0.5,0.25,126,0,2654,3770,4,1,0,0,9,11
S08,3,L3,0.8095,0.6667,0.6429,0.8333,0.7083,0.6875,0.6667,0.0,1.0,0.75,1.0,1.0,0.25,191,0,2611,3765,3,2,12,1,1,6
S08,3,L3p,0.881,0.4881,0.2976,0.8958,0.5521,0.3854,0.5,0.0,0.6667,0.5,1.0,0.5,0.25,241,0,2732,3950,2,3,3,1,7,9
S08,3,L2,0.8929,0.619,0.4881,0.9062,0.6667,0.5521,0.3333,0.0,1.0,1.0,1.0,0.5,0.5,46,0,2484,3505,2,3,10,0,3,7
S08,3,L1,0.7024,0.5119,0.3571,0.7396,0.5729,0.4375,0.6667,0.0,0.6667,0.5,1.0,0.5,0.25,120,3,2574,3196,3,2,4,0,6,10
S08,3,L0,0.7619,0.4524,0.119,0.7917,0.5208,0.2292,0.5,0.0,0.6667,0.25,1.0,0.5,0.25,94,0,2567,4049,3,2,0,0,8,12
S08,4,L3,0.7738,0.631,0.3571,0.7604,0.6354,0.3958,0.6667,0.0,1.0,0.5,1.0,0.5,0.75,201,0,2541,3383,3,2,12,0,1,7
S08,4,L3p,0.7738,0.5357,0.1071,0.8021,0.5938,0.2188,0.5,0.6667,0.6667,0.25,0.6667,0.5,0.5,223,0,2631,4004,4,1,2,0,7,11
S08,4,L2,0.6667,0.5238,0.369,0.7083,0.5833,0.4479,0.6667,0.0,1.0,0.25,1.0,0.5,0.25,58,0,2421,3001,3,2,5,0,5,10
S08,4,L1,0.5714,0.4524,0.2619,0.625,0.5208,0.3542,0.5,0.0,0.6667,0.25,1.0,0.5,0.25,131,3,2510,3042,3,2,4,0,4,12
S08,4,L0,0.7738,0.3333,0.1071,0.8021,0.4167,0.2188,0.3333,0.0,0.6667,0.25,0.3333,0.5,0.25,110,0,2511,3663,2,3,0,0,6,14
S08,5,L3,0.8452,0.6905,0.5714,0.8646,0.7292,0.625,1.0,0.3333,1.0,0.5,1.0,0.5,0.5,203,0,2664,3838,4,1,12,0,2,6
S08,5,L3p,0.7143,0.4881,0.2738,0.75,0.5521,0.3646,0.5,0.0,0.6667,0.5,1.0,0.5,0.25,279,0,2815,3956,2,3,7,0,3,10
S08,5,L2,0.8452,0.6429,0.4048,0.8646,0.6875,0.4792,0.6667,0.3333,1.0,0.5,1.0,0.5,0.5,73,0,2561,3239,3,2,11,0,2,7
S08,5,L1,0.5833,0.4524,0.25,0.6354,0.5208,0.3438,0.5,0.3333,0.6667,0.25,0.6667,0.5,0.25,144,3,2649,3032,4,1,5,2,2,11
S08,5,L0,0.6548,0.4048,0.0714,0.6979,0.4792,0.1875,0.5,0.0,0.6667,0.25,0.6667,0.5,0.25,117,0,2630,3920,3,2,0,0,7,13
